num,1,2,3,4,label
326,0.0015,-0.0008,0.0007,0.003,1
327,0.0007,-0.0015,0.0015,0.0007,1
328,0.0007,-0.0023,0.003,0.0007,1
329,0.0007,-0.003,0.003,-0.0008,1
330,-0.0015,-0.003,0.0045,0,1
331,0,-0.003,0.003,0.0007,1
332,-0.0015,-0.0008,0.003,-0.0008,1
333,-0.0053,-0.0015,0.0075,0.0007,1
334,-0.0046,-0.0015,0.0052,0.0007,1
335,-0.0046,-0.0008,0.003,0.0007,1
336,-0.003,0,0,-0.0015,1
337,0.003,0.0022,-0.003,-0.0015,1
338,0.0067,0.0015,-0.0068,-0.0015,1
339,0.0067,0.0007,-0.0091,-0.0038,1
340,0.0082,0.0022,-0.0105,-0.0038,1
341,0.006,0,-0.0098,-0.0046,1
342,0.003,0,-0.0038,-0.0023,1
343,0.0007,-0.0008,-0.003,-0.0015,1
344,0,0,-0.0008,-0.0015,1
345,0.0015,0.0007,0.003,0,1
346,0.0015,-0.0008,0.0015,-0.0008,1
347,0.0007,-0.0023,0.003,0,1
348,-0.0015,-0.0015,0.003,-0.0008,1
349,-0.0015,-0.0008,0.0045,-0.0008,1
350,-0.003,-0.0023,0.009,0.0007,1
351,-0.003,-0.0015,0.0067,0.0007,1
352,0,-0.0008,0.0037,0.0015,1
353,-0.0008,-0.0008,0.0007,0,1
354,-0.0008,0.0015,-0.003,-0.0015,1
355,0,0.0015,-0.0038,-0.0008,1
